#	type	pattern	pilot	lemma	freq
1	T	N	phoneme	phoneme	298
3	T	A N	neural network	neural network	131
3	V[s]	A A N	convolutional neural networks	convolutional neural network	18
3	V[s]	A A N	feedforward neural network	feedforward neural network	10
3	V[s]	A A N	recurrent neural network	recurrent neural network	9
3	V[s]	A A N	deep neural networks	deep neural network	8
4	T	N	decoder	decoder	116
5	T	N	vocoder	vocoder	95
6	T	N	corpus	corpus	93
7	T	A N	Deep Voice	deep voice	77
8	T	N	vector	vector	75
9	T	A N	acoustic model	acoustic model	72
10	T	N	dataset	dataset	70
11	T	N	text-to-speech	text-to-speech	66
12	T	N	convolution	convolution	63
13	T	N	WaveNet	wavenet	57
15	T	N	graphemes	grapheme	51
16	T	N	LSTM	lstm	51
17	T	N N	speech recognition	speech recognition	51
17	V[s]	A N N	automatic speech recognition	automatic speech recognition	9
18	T	N N	training data	training datum	50
20	T	N N	TTS system	tts system	97
20	V[s]	A N N	neural TTS system	neural tts system	18
23	T	N N	TTS model	tts model	46
23	V[s]	N N N	Transformer TTS model	transformer tts model	10
23	V[s]	N N N N	autoregressive Transformer TTS model	autoregressive transformer tts model	8
24	T	N	ParaNet	paranet	46
25	T	N	spectrogram	spectrogram	92
26	T	N N	speaker embeddings	speaker embeddings	43
27	T	N N	phoneme duration	phoneme duration	43
28	T	N N	language models	language model	43
29	T	N N	speech synthesis	speech synthesis	86
29	V[s]	A A N N	statistical parametric speech synthesis	statistical parametric speech synthesis	13
30	V[s]	N N N	unit selection synthesis	unit selection synthesis	8
32	T	N	classifier	classifier	39
33	T	N N	speaker encoder	speaker encoder	38
34	V[s]	N N N	ground truth audio	ground truth audio	8
36	T	N N	decision tree	decision tree	35
37	T	N	Transformer	transformer	34
38	T	N	waveform	waveform	67
39	T	N N	target language	target language	33
40	T	N	Tacotron	tacotron	62
41	T	N N	speech data	speech datum	30
42	T	N	prosody	prosody	30
44	T	N N	speaker identity	speaker identity	29
45	T	N	FastSpeech	fastspeech	54
47	T	N	Tundra	tundra	27
48	T	N N	ASR system	asr system	27
49	T	N N	input representations	input representation	26
50	T	A N	residual connections	residual connection	26
51	T	N N	phoneme sequence	phoneme sequence	26
52	T	N	multi-speaker	multi-speaker	52
53	T	N	MLSP	mlsp	25
55	T	N	encoder-decoder	encoder-decoder	25
56	T	A N	fundamental frequency	fundamental frequency	25
57	T	A	phonetic	phonetic	49
59	T	N	mel-spectrogram	mel-spectrogram	96
60	T	N N	machine translation	machine translation	24
62	T	N N	MLP features	mlp feature	48
62	V[s]	A N N	multilingual MLP features	multilingual mlp feature	10
62	V[s]+	N N N	MLP feature extraction	mlp feature extraction	10
63	T	A N	acoustic features	acoustic feature	24
64	T	N	LibriSpeech	librispeech	24
65	T	A N	neural vocoder	neural vocoder	23
69	T	N	optimization	optimization	23
70	T	A N	linguistic features	linguistic feature	23
71	T	N N	speaker classifier	speaker classifier	23
73	T	A N	audio quality	audio quality	22
